date,sales
2022-01,125000
2022-02,138000
2022-03,142000
2022-04,135000
2022-05,148000
2022-06,156000
2022-07,162000
2022-08,158000
2022-09,145000
2022-10,152000
2022-11,168000
2022-12,175000
2023-01,182000
2023-02,195000
2023-03,201000
2023-04,188000
2023-05,205000
2023-06,218000
2023-07,225000
2023-08,212000
2023-09,198000
2023-10,215000
2023-11,232000
2023-12,245000
2024-01,258000
2024-02,272000
2024-03,285000
2024-04,268000
2024-05,295000
2024-06,312000
2024-07,328000
2024-08,315000
2024-09,298000
2024-10,325000
2024-11,342000
2024-12,358000
