date,temperature
2023-01-01,15.2
2023-01-02,16.1
2023-01-03,14.8
2023-01-04,17.3
2023-01-05,18.5
2023-01-06,16.9
2023-01-07,15.7
2023-01-08,19.2
2023-01-09,20.1
2023-01-10,18.8
2023-01-11,17.4
2023-01-12,16.2
2023-01-13,18.9
2023-01-14,21.3
2023-01-15,19.7
2023-01-16,17.8
2023-01-17,16.5
2023-01-18,20.4
2023-01-19,22.1
2023-01-20,19.6
2023-01-21,18.3
2023-01-22,17.1
2023-01-23,21.7
2023-01-24,23.2
2023-01-25,20.8
2023-01-26,19.4
2023-01-27,18.7
2023-01-28,22.5
2023-01-29,24.1
2023-01-30,21.9
2023-01-31,20.2
2023-02-01,19.6
2023-02-02,23.8
2023-02-03,25.3
2023-02-04,22.7
2023-02-05,21.1
2023-02-06,20.4
2023-02-07,24.6
2023-02-08,26.2
2023-02-09,23.5
2023-02-10,22.8
2023-02-11,21.3
2023-02-12,25.7
2023-02-13,27.4
2023-02-14,24.9
2023-02-15,23.2
2023-02-16,22.6
2023-02-17,26.8
2023-02-18,28.1
2023-02-19,25.4
2023-02-20,24.7
2023-02-21,23.9
2023-02-22,27.2
2023-02-23,28.9
2023-02-24,26.1
2023-02-25,25.3
2023-02-26,24.8
2023-02-27,28.4
2023-02-28,29.7
2023-03-01,27.2
2023-03-02,26.5
2023-03-03,25.9
2023-03-04,29.1
2023-03-05,30.4
2023-03-06,28.7
2023-03-07,27.8
2023-03-08,26.2
2023-03-09,30.8
2023-03-10,32.1
2023-03-11,29.4
2023-03-12,28.6
2023-03-13,27.9
2023-03-14,31.5
2023-03-15,33.2
2023-03-16,30.7
2023-03-17,29.8
2023-03-18,28.4
2023-03-19,32.6
2023-03-20,34.1
2023-03-21,31.8
2023-03-22,30.9
2023-03-23,29.7
2023-03-24,33.4
2023-03-25,35.2
2023-03-26,32.9
2023-03-27,31.6
2023-03-28,30.3
2023-03-29,34.7
2023-03-30,36.1
2023-03-31,33.8
